"Michael Choe Charlesbank Capital Partners, LLC USA"
"Maggie Sahlman Charlesbank Capital Partners, LLC USA"
"Carolyn Wintner Charlesbank Capital Partners, LLC USA"
"Kirsten Ahearn Charlesbank Capital Partners, LLC USA"
"Matthew Jacobson Charlesbank Capital Partners, LLC USA"
"Erica Snyder Charlesbank Capital Partners, LLC USA"
"Carole Springhetti Charlesbank Capital Partners, LLC USA"
"Bruce Bruckmann Bruckmann, Rosser, Sherrill & Co., Inc. USA"
Stewart Gross Lightyear Capital LLC USA
"Marshall Haines Symphony Technology Group, L.L.C. USA"
Dean Jacobson Accel-KKR Company LLC USA
"Ira Moreland Icv Partners, LLC USA"
"David Pequet Madison Dearborn Partners, LLC USA"
Rachel Spasser Accel-KKR Company LLC USA
Daniel Freyman Lightyear Capital LLC USA
"John Pollock Lv2 Equity Partners, LLC USA"
"Tory Rooney Bruckmann, Rosser, Sherrill & Co., Inc. USA"
"Willie Woods Icv Partners, LLC USA"
"Dan Dechiaro Rockbridge Growth Equity, LLC USA"
"Marie Kirschbaum Leonard Green & Partners, L.P. USA"
"Christopher Cruz Searchlight Capital Partners, L.P. USA"
Hector Hernandez Regent Aerospace Corporation USA
"Sally Mancuso A&E Television Networks, LLC USA"
"Michelle Lehmann Custom Truck One Source, Inc. USA"
"Nicholas Sauerberg A&E Television Networks, LLC USA"
"Allen Smith A&E Television Networks, LLC USA"
"Matthew Denison Madison Dearborn Partners, LLC USA"
"William Ritchie Madison Dearborn Partners, LLC USA"
"Michael Mastro A&E Television Networks, LLC USA"
"Alan Mire Blue Sage Capital, L.P. USA"
"Kerri Hagen Gemspring Capital, LLC USA"
"Matt Hendricks Custom Truck One Source, Inc. USA"
"Kate Rosante A&E Television Networks, LLC USA"
"Brad Patton Custom Truck One Source, Inc. USA"
"Kathy Calio Gemspring Capital, LLC USA"
"Kim Ferraro A&E Television Networks, LLC USA"
"Pete Borchers Madison Dearborn Partners, LLC USA"
"Mary Rachide Icv Partners, LLC USA"
Robert Gamperl Potawatomi Business Development Corp USA
"Beth Appio A&E Television Networks, LLC USA"
"Kelli Whitcomb Charlesbank Capital Partners, LLC USA"
"Janine Franciosa A&E Television Networks, LLC USA"
Joseph Tesch Potawatomi Business Development Corp USA
"Thomas Cagle Arlington Capital Partners IV, L.P. USA"
Clara Yee Accel-KKR Company LLC USA
Agustin Lomeli Regent Aerospace Corporation USA
"Christopher Sakara Arlington Capital Partners IV, L.P. USA"
Destiny Cherry Peavey Electronics Corporation USA
Stephanie Vanhaag Potawatomi Business Development Corp USA
"Donald Morgan Insight Venture Partners (delaware) Viii, L.P. USA"
"Heather Pastorini A&E Television Networks, LLC USA"
"Tricia Riccio A&E Television Networks, LLC USA"
Lane Mcphillips Lightyear Capital LLC USA
Greg Minton Emmis Communications Corp USA
"Jesse Cash Arlington Capital Partners IV, L.P. USA"
"Rena Friedlander A&E Television Networks, LLC USA"
"Ron Lejman Tenex Capital Management, L.P. USA"
"Chad Spooner Tenex Capital Management, L.P. USA"
"David Brooks Tenex Capital Management, L.P. USA"
"Terry Meredith Shore Capital Partners, LLC USA"
April Cordova American Securities LLC USA
Jay Rosenberg Harlan Castle Inc USA
"Peter Chung Marlin Equity Partners, LLC USA"
"Brandon Coan Shore Capital Partners, LLC USA"
"Shannon Finocchi Shore Capital Partners, LLC USA"
Marcel Fournier Harlan Castle Inc USA
"Chase Hall Shore Capital Partners, LLC USA"
"Allison Kuziw Marlin Equity Partners, LLC USA"
"Nathan Pingelton Marlin Equity Partners, LLC USA"
"Joe Pizetoski Shore Capital Partners, LLC USA"
"Peter Roehmholdt Shore Capital Partners, LLC USA"
Eric Schwartz Harlan Castle Inc USA
Patrick Zyla Harlan Castle Inc USA
"Jeff Lieberman Insight Venture Management, LLC USA"
"Lee Wittlinger Silver Lake Partners II, L.P. USA"
"Marc Bala Symphony Technology Group, L.L.C. USA"
Franz Ferdinand Buerstedde Rhone Group LLC USA
Helen Chiang American Securities LLC USA
"Paige Daly Harvest Partners, LP USA"
Ben Dickson American Securities LLC USA
B Christopher Disantis American Securities LLC USA
Loren Easton American Securities LLC USA
"Edmund Feeley Lj2 & Co., LLC USA"
"Jaime Forsyth Monomoy Capital Partners, L.P. USA"
David Golde Genstar Capital LLC USA
"Chaoran Jin Keystone Capital, Inc. USA"
"Josh Kaufman Levine Leichtman Capital Partners, LLC USA"
"Byron Lichtenstein Insight Venture Management, LLC USA"
"Kyle Paster Silver Lake Partners II, L.P. USA"
Kevin Penn American Securities LLC USA
"Corby Reese Swander Pace Capital, LLC USA"
"Jairo Romero Llr Partners, Inc. USA"
"Apoorv Saxena Silver Lake Partners II, L.P. USA"
"Peter Segall Insight Venture Management, LLC USA"
"Bill Sommerschield Keystone Capital, Inc. USA"
Andrew Tomashek Goldner Hawn Johnson & Morrison Incorporated USA
"Gabriel Wood Tenex Capital Management, L.P. USA"
"Ian Sandler Insight Venture Management, LLC USA"
"Moustafa Elbialy Kleiner Perkins Caufield & Byers, LLC USA"
"Tai Park Leonard Green & Partners, L.P. USA"
"Imran Shaikh Shore Capital Partners, LLC USA"
Michael Antonelli Incline Mgmt Corp. USA
"Cian Cotter Insight Venture Management, LLC USA"
Kevin Mason Altamont Capital Partners LLC USA
"Justin Steil Middleground Management, LP USA"
"Mike Tripplett Insight Venture Management, LLC USA"
David Chung Global Infrastructure Management LLC USA
"Habib Gorgi Nautic Partners, LLC USA"
Katie Solomon Genstar Capital LLC USA
"John Stivers Echo Global Logistics, Inc. USA"
"Ryan Bone Silver Lake Partners II, L.P. USA"
Robert Clark Genstar Capital LLC USA
"Moe Tufail Renovus Capital Partners, L.P. USA"
"Timothy Austin Searchlight Capital Partners, L.P. USA"
"Jp Bretl Tenex Capital Management, L.P. USA"
Chris Davy Riverside Partners L.L.C. USA
"Sean Kelley Gridiron Capital, LLC USA"
"Christen Paras Middleground Management, LP USA"
"Mark Satran Ae Industrial Partners, LP USA"
Denny Sreckovic Global Infrastructure Management LLC USA
"Perrin Monroe Tenex Capital Management, L.P. USA"
"Darrin Edwards Echo Global Logistics, Inc. USA"
Will Manuel American Securities LLC USA
"Colin Martello Echo Global Logistics, Inc. USA"
Brad Tobin American Securities LLC USA
Drew Zarges Riverside Partners L.L.C. USA
"Alexa Arpaia Clearview Capital, LLC USA"
Scott Black Heritage Group Inc USA
Ilona Blanoutsa Altamont Capital Partners LLC USA
Margaret Dolan The Heico Companies L L C USA
"Pedro Gomez Gridiron Capital, LLC USA"
"Mandy Kamm Middleground Management, LP USA"
"Veronica Levet Gemspring Capital, LLC USA"
Orle Mulamekic Rhone Group LLC USA
"Max Pinto Parthenon Capital, LLC USA"
Bart Thielen Riverside Partners L.L.C. USA
"Beth Turner Ae Industrial Partners, LP USA"
Smita Vatsa Kumar Global Partners LP USA
James Carmichael American Securities LLC USA
"Laura Eudaley Harvest Partners, LP USA"
"Danica Elliott Frazier Management, L.L.C. USA"
"Emily Kane Monomoy Capital Partners, L.P. USA"
"Sarah Kornhaber Llr Partners, Inc. USA"
"Ben Litman Echo Global Logistics, Inc. USA"
"Bruce Bodnar Marlin Equity Partners, LLC USA"
Nicholas Canderan Civc Partners L.P. USA
"Steve Dann Leonard Green & Partners, L.P. USA"
Will Davis Riverside Partners L.L.C. USA
"David Duke Kian Capital Partners, LLC USA"
"Daniel Prescott Benchmark Electronics, Inc. USA"
"Brian Ripes Echo Global Logistics, Inc. USA"
"Brent Stevens Symphony Technology Group, L.L.C. USA"
"Stacy Black Benchmark Electronics, Inc. USA"
"Christopher Dubanowitz Marlin Equity Partners, LLC USA"
"Jared Bobbitt Leonard Green & Partners, L.P. USA"
Tracie Kelly Excellere Capital Management LLC USA
"Molly Kloos Parthenon Capital, LLC USA"
"Molly Kloos Parthenon Capital, LLC USA"
"Grant Mehlhoff Cresa Partners, LLC USA"
"Shaun Pergande Leonard Green & Partners, L.P. USA"
"Lesly Schlender Parthenon Capital, LLC USA"
"Dustin Zaloom Insight Venture Management, LLC USA"
Leo Fitzpatrick Goldberg Lindsay & Co. LLC USA
"Mike Sarmiento Echo Global Logistics, Inc. USA"
Margo Musante Lightyear Capital LLC USA
Farshid Poursartip The Heico Companies L L C USA
Melanie Guenther American Securities LLC USA
"Debbie Habib Levine Leichtman Capital Partners, LLC USA"
"Eithan Tran Benchmark Electronics, Inc. USA"
Karen Lajoy Lightyear Capital LLC USA
"Hussein Abdelhalim Lj2 & Co., LLC USA"
"Michael Benson Benchmark Electronics, Inc. USA"
"Daryl Chol Echo Global Logistics, Inc. USA"
Curtis Kroeker Quad Partners LLC USA
Peter Meyerdirk Altamont Capital Partners LLC USA
"Elizabeth Walker Echo Global Logistics, Inc. USA"
Mary Mccarty Global Partners LP USA
Joni Isaac American Securities LLC USA
Shannon Curry Emmis Communications Corp USA
"David Dylla Benchmark Electronics, Inc. USA"
"Paul Mckinney Benchmark Electronics, Inc. USA"
"Brandon Ressler Norwest Venture Capital Management, Inc. USA"
Dina Scalzo Goldberg Lindsay & Co. LLC USA
Kristi Carson Emmis Communications Corp USA
"Jen Orlando Grand Ventures, Inc USA"
"David Cavanaugh Benchmark Electronics, Inc. USA"
